# 仓库拆分 commit hash 映射（2026-07-24, git filter-repo --subdirectory-filter stock-sieve）
# 格式: <旧hash> <新hash>
# 关键节点: cda3940->6545137 / e2429db->b109ab4 / 471f88c->084c6bc / 8e94efb->a2de09f

old                                      new
053f03b426622d0690c8659bb76cd72917136b24 d99f9564ed2f50c1c52231ba940fa57f11091a44
0a150fd6ae3638205d183e949d0d9544a2130ea4 0000000000000000000000000000000000000000
0b73264a8c7dc2ec161026a10cfa235f4f696ae8 96ab4df112b844d05b101029f5a8a78bdc0d7a04
0f1981d31b428d10974653f309f4efb211755496 f635ca65b9468552f025f51947cdd43f9833f788
1aafcf915ee999ae963857e11aa51ed13e91b52f f5fb66dff6e16ee791492bba82b6533066dfb362
1e15d096b589a2e7bba6b909145bab7c577c662a 5d7caa3461a3680c3ff27a02111a452b3327ac7d
207357a07536910fce4d066b3f2e4e010b177912 0000000000000000000000000000000000000000
207a679c57a4ea3b1734e09b9024a033a4a1366d 9097c86bf23c906a946e98157dde25f98ddcc657
2084dada7df533692c46d4c4f6f3e3434d64c9aa 655641a1c2e95fde0738576144acbdacc08a5118
210c798ba89e7ca3b0cdad92f8f0f56b8357031b 9ff72679bf31109fd077035ef30d871a21424e4e
23047c471a7a54bfc62195cf1085568bbf655b71 7d65b6caa7447f1ec7572a81be2f5a301623c76a
2837ae311d78800d36d055101087ce0d862e7308 73c2166d1fadde5a73a23108735ba6635b632254
2903016df258b91bc32cacceb59f8d4c5aea17a0 47bbe50a3014f41b64423e192b8b6e8c5ab77cf0
2acaa13328d6f714fd81a158bde0fcb571964c3d 388bca7a375eb0d80729b73dbd7e680f90ae61c9
30b3e072e67b5e715f99fdaa7b211bae5ba8721a e745d4b35e91be4349980200f852c30d5443150a
314af19f9ddc336365255aa1e141153672dfc399 37a02e3250388e6a81a9585b1cd82cf78a3c14c7
3301b2a18bfc528d267ce3d7150a96ba1ca88728 0000000000000000000000000000000000000000
3b2fc4817c861182529cfc17ea28bf5d0260e208 d5e45b2815c8573b42c4e9d463b1df1791e92761
471f88c13ac6c660967dbe5f0699dbfff56388bc 084c6bce476ad9bd9ce76caafc64bf46094271cc
4ad6076304d18f3e84bcd8bc9bf278262ca801c9 fae958e662c2630eff92ac02833e73e56042cbcc
4ba010665b5d0fac1b7150d42cdf3974e257d828 0c3cb758e222918ab4f1a706edefbe3e861f60f9
4da86cbc931911a15876a180c66fcaa396f4fba9 b2be4311523db88495d918043ccd769c377d418b
50332e66dc9d3c9fc376c49a0ef6ea0fcfba9bd3 1b7356b396911e982d65d1ae874edab7c5eb3087
528ee32629f99f49cbd67930c212cd430b1d245c 6cbe48619ccf54b2c3b23619bba1a8a745ee51fd
5319734c94a30b078a9a7a314bc7d5eb73a87600 9bbbd9f49b7ffcfdb8884eb820fee1af87627a7e
55b6d9f63cfbe15a13a4686f0069086ee221e620 0000000000000000000000000000000000000000
584bf67ef85ee2d2ff66a644682e9a420391f3b9 b4da221cd1e119dbc57c4069a7cb129eca424551
5b083221e7fa5bcf3ee891a6d6a3435695693275 1905a58d0dea26e24933464dd09a4fba08dd2ff7
625516ef683c4baf1422ee888f68feceeff5df7f 6d53d8b3b69bd0caf2e21adb8aef532e67699be2
67316928a7a4face818d3778e725aa9176c753c9 2244d3ddf94f61defcd13d401f7ea1b5247efe0f
6b82dc697d3e5a9c05351d5b16b89d2c7ec8eeac 6507a347db858639ebb4cbcf4f2d77c267300171
6eb2a67e338a9951de570b0922967db51620c3f6 0000000000000000000000000000000000000000
73a6f12533f437180b082ee667b55040fef80e36 310a7481d0ca923d733604b6a2123d8124113a99
80d3133887af3bc764b28bf73d93fc974f722a70 664f1bd8dbec234b278eeef18d1621afb27b9a33
86b77025bc1d53c0403054c1bcd6a51dc1754a29 373d1ec2c9115226f56443dd36823d18044c42b2
8bb3a44d706e39d624c11aa113d3a2a7b1ca33a2 77d94bcd03779bfcb2a950fc43778931167ef2e0
8d636abbf178a01b7d9ced970f9208f14dceea1a fbdafa98462ba3b7efbae8062b767ccd1e2c0b68
8e406cc88d58fc21725208708a47cb7923315a9f 8b6250da37dc07c945280abab6d7cc7485cf57e7
8e94efb3fad9fe773a43d1d9c3f0c36fe913ea01 a2de09fd8b149a57835a812ac4ac895ba89c7a46
8ed3e5a18a48b2088867f4fe0939abc622f9e59d 651f4f1e4b05315b3a3c7466573d0a1a22852af0
91e8930639ac4aa2198fddba6e4acd1f12d9c203 31faf3bcb9460f18c559a6b57042b9ccbff26520
93700c23f7d941dae907e0c3d45563baeb791685 604f7564db285086475a6514089a82a7e3030ea7
9a2a390faa0682aeef25fc3733bb83ef672b9845 0000000000000000000000000000000000000000
9d03a08028c39f40478936030f87be21d3418c76 00d06d7fa9d4ef98d860863ebe0dd6f9d5e3368d
9d5244d409ad5718e8ac0381d30b2ae9a856807d 0000000000000000000000000000000000000000
9eca615d661ec752a7509e4e318080cc10e9e637 42aa289a18ce3de98a154d54b82d2dde0322764c
a71b9d65deed5fc11b2d16f6e393135353f92d56 4841893c460d9df9a80815c4462a985b35f5af5e
a8fa5c4b2fe495d1d9dde48a268134ffab1e7183 8c40305ad98174440225ef2b46b95d30bcec79ec
a9f4b30cbb4d3257a38dc0bfd53c83341ae53e11 0000000000000000000000000000000000000000
af2a99c42f2d3340e46989cc3e987f58993f3047 47b887f7ad67d483cc89394f1a19b60c3d4dba34
af82a8b8a83ff2d02bc78b982652e59328ef3b13 e7c78821e6e0c0e93326b9bdfeca2952aff8aed9
b09825dfb47e4f6527205cec202dc9d6b714cc67 a6b07b3be6f9b6d115cc3f3482e4d860cafbabd6
b1337d2996a6c87329722d0366cbce02b84d68b2 b4896c0f778008d1d47d37e5bc3b060131adc345
b56e90b8800b07d4b6a27265a21d21241cb881c4 fbfde71bfe7362d4bef46bed057a37e00622451a
c393f1deb1c11c08c4a029220af7cca8e4f2fe86 91338b570404c2f6cffdcdd3e47638bb57a55e8c
c46c998be27af695e51cb207a0da66b01feaafcd 0000000000000000000000000000000000000000
c5506a034514204f8035e5daad5faa5176210347 c68e62368bac8d0a54768e41e966ba67a0b66333
c5dc740fa90ac9b795b2b3acebdeaa636ba98654 0000000000000000000000000000000000000000
c6e002af52c3eadc4fe095c8fa329d3bcb31fadb 6cfda42bf68a5d178bc8e7b05afde83f230fbdb7
cac2619bb7c2c865e4d54f15bf1ca80d69af0984 951f2f310d21cef770a6df195f9ea9655bdb69aa
cda394089188a2a3d83d091deeec91d27985264e 654513780332c848a697884846cc4bfde96e64c7
ce472608ce3a9e1fc58432bb03e240c06bb5390d ce32835fdf41ab4c31ab772e8b155eeef27df2d9
ceddef8250adfa821d088717bcde2c644a47ce31 e0dcf4f48601012f256266acb11269b37e4e72fb
d012029dc185b24af6232923b724fa1486a2823e 95c7eabe850febb9da772a73f58e213ad2a810b0
